| time |   in   |reset|load | inc |  out   |
| 0+   |      0 |  0  |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |  0  |      0 |
| 1+   |      0 |  0  |  0  |  1  |      0 |
| 2    |      0 |  0  |  0  |  1  |      1 |
| 2+   | -32123 |  0  |  0  |  1  |      1 |
| 3    | -32123 |  0  |  0  |  1  |      2 |
| 3+   | -32123 |  0  |  1  |  1  |      2 |
| 4    | -32123 |  0  |  1  |  1  |      3 |
| 4+   | -32123 |  0  |  0  |  1  |      3 |
| 5    | -32123 |  0  |  0  |  1  |      4 |
| 5+   | -32123 |  0  |  0  |  1  |      4 |
| 6    | -32123 |  0  |  0  |  1  |      5 |
| 6+   |  12345 |  0  |  1  |  0  |      5 |
| 7    |  12345 |  0  |  1  |  0  |  12345 |
| 7+   |  12345 |  1  |  1  |  0  |  12345 |
| 8    |  12345 |  1  |  1  |  0  |  12345 |
| 8+   |  12345 |  0  |  1  |  1  |  12345 |
| 9    |  12345 |  0  |  1  |  1  |  12346 |
| 9+   |  12345 |  1  |  1  |  1  |  12346 |
| 10   |  12345 |  1  |  1  |  1  |  12347 |
| 10+  |  12345 |  0  |  0  |  1  |  12347 |
| 11   |  12345 |  0  |  0  |  1  |  12348 |
| 11+  |  12345 |  1  |  0  |  1  |  12348 |
| 12   |  12345 |  1  |  0  |  1  |  12349 |
| 12+  |      0 |  0  |  1  |  1  |  12349 |
| 13   |      0 |  0  |  1  |  1  |  12350 |
| 13+  |      0 |  0  |  0  |  1  |  12350 |
| 14   |      0 |  0  |  0  |  1  |  12351 |
| 14+  |  22222 |  1  |  0  |  0  |  12351 |
| 15   |  22222 |  1  |  0  |  0  |      0 |
