|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |    0|    1|      0 |
|1+  |     0|1110110000010000|  0  |  12345|   0   |    0|    1|  12345 |
|2   |     0|1110110000010000|  0  |  12345|   0   |    0|    2|  12345 |
|2+  |     0|0101101110100000|  0  |     -1|   0   |    0|    2|  12345 |
|3   |     0|0101101110100000|  0  |     -1|   0   |    0|    3|  12345 |
|3+  |     0|1110000111010000|  0  |  11111|   0   |    0|    3|  11111 |
|4   |     0|1110000111010000|  0  |  12345|   0   |    0|    4|  11111 |
|4+  |     0|0000001111101000|  0  | -11111|   0   |    0|    4|  11111 |
|5   |     0|0000001111101000|  0  | -11111|   0   |    0|    5|  11111 |
|5+  |     0|1110001100001000|  0  |  11111|   0   |    0|    5|  11111 |
|6   |     0|1110001100001000|  0  |  11111|   0   |    0|    6|  11111 |
|6+  |     0|0000001111101001|  0  | -11111|   0   |    0|    6|  11111 |
|7   |     0|0000001111101001|  0  | -11111|   0   |    0|    7|  11111 |
|7+  |     0|1110001110011000|  0  |  11110|   0   |    0|    7|  11110 |
|8   |     0|1110001110011000|  0  |  11109|   0   |    0|    8|  11110 |
|8+  |     0|0000001111101000|  0  | -11110|   0   |    0|    8|  11110 |
|9   |     0|0000001111101000|  0  | -11110|   0   |    0|    9|  11110 |
|9+  | 11111|1111010011010000|  0  |  10110|   0   |    0|    9|  10110 |
|10  | 11111|1111010011010000|  0  |   9110|   0   |    0|   10|  10110 |
|10+ | 11111|0000000000001110|  0  |   9062|   0   |    0|   10|  10110 |
|11  | 11111|0000000000001110|  0  |   9062|   0   |    0|   11|  10110 |
|11+ | 11111|1110001100000100|  0  |  10110|   0   |    0|   11|  10110 |
|12  | 11111|1110001100000100|  0  |  10110|   0   |    0|   12|  10110 |
|12+ | 11111|0000001111100111|  0  | -10110|   0   |    0|   12|  10110 |
|13  | 11111|0000001111100111|  0  | -10110|   0   |    0|10110|  10110 |
|13+ | 11111|1110110111100000|  0  |   1000|   0   |    0|10110|  10110 |
|14  | 11111|1110110111100000|  0  |   1000|   0   |    0|10111|  10110 |
|14+ | 11111|1110001100001000|  0  |  10110|   0   |    0|10111|  10110 |
|15  | 11111|1110001100001000|  0  |  10110|   0   |    0|10112|  10110 |
|15+ | 11111|0000000000010101|  0  |    870|   0   |    0|10112|    870 |
|16  | 11111|0000000000010101|  0  |    870|   0   |    0|  999|    870 |
|16+ | 11111|1110011111000010|  0  |    871|   0   |    0|  999|    870 |
|17  | 11111|1110011111000010|  0  |    871|   0   |    0| 1000|    870 |
|17+ | 11111|0000000000000010|  0  |    870|   0   |    0| 1000|    870 |
|18  | 11111|0000000000000010|  0  |    870|   0   |    0| 1001|    870 |
|18+ | 11111|1110000010010000|  0  |   1740|   0   |    0| 1001|   1740 |
|19  | 11111|1110000010010000|  0  |   2610|   0   |    0| 1002|   1740 |
|19+ | 11111|0000001111101000|  0  |  -1740|   0   |    0| 1002|   1740 |
|20  | 11111|0000001111101000|  0  |  -1740|   0   |    0| 1003|   1740 |
|20+ | 11111|1110111010010000|  0  |     -1|   0   |    0| 1003|     -1 |
|21  | 11111|1110111010010000|  0  |     -1|   0   |    0| 1004|     -1 |
|21+ | 11111|1110001100000001|  0  |     -1|   0   |    0| 1004|     -1 |
|22  | 11111|1110001100000001|  0  |     -1|   0   |    0| 1005|     -1 |
|22+ | 11111|1110001100000010|  0  |     -1|   0   |    0| 1005|     -1 |
|23  | 11111|1110001100000010|  0  |     -1|   0   |    0| 1006|     -1 |
|23+ | 11111|1110001100000011|  0  |     -1|   0   |    0| 1006|     -1 |
|24  | 11111|1110001100000011|  0  |     -1|   0   |    0| 1007|     -1 |
|24+ | 11111|1110001100000100|  0  |     -1|   0   |    0| 1007|     -1 |
|25  | 11111|1110001100000100|  0  |     -1|   0   |    0| 1000|     -1 |
|25+ | 11111|1110001100000101|  0  |     -1|   0   |    0| 1000|     -1 |
|26  | 11111|1110001100000101|  0  |     -1|   0   |    0|32767|     -1 |
|26+ | 11111|1110001100000110|  0  |     -1|   0   |    0|32767|     -1 |
|27  | 11111|1110001100000110|  0  |     -1|   0   |    0|32767|     -1 |
|27+ | 11111|1110001100000111|  0  |     -1|   0   |    0|32767|     -1 |
|28  | 11111|1110001100000111|  0  |     -1|   0   |    0|32767|     -1 |
|28+ | 11111|1110101010010000|  0  |      0|   0   |    0|32767|      0 |
|29  | 11111|1110101010010000|  0  |      0|   0   |    0|    0|      0 |
|29+ | 11111|1110001100000001|  0  |      0|   0   |    0|    0|      0 |
|30  | 11111|1110001100000001|  0  |      0|   0   |    0|    1|      0 |
|30+ | 11111|1110001100000010|  0  |      0|   0   |    0|    1|      0 |
|31  | 11111|1110001100000010|  0  |      0|   0   |    0|32767|      0 |
|31+ | 11111|1110001100000011|  0  |      0|   0   |    0|32767|      0 |
|32  | 11111|1110001100000011|  0  |      0|   0   |    0|32767|      0 |
|32+ | 11111|1110001100000100|  0  |      0|   0   |    0|32767|      0 |
|33  | 11111|1110001100000100|  0  |      0|   0   |    0|    0|      0 |
|33+ | 11111|1110001100000101|  0  |      0|   0   |    0|    0|      0 |
|34  | 11111|1110001100000101|  0  |      0|   0   |    0|    1|      0 |
|34+ | 11111|1110001100000110|  0  |      0|   0   |    0|    1|      0 |
|35  | 11111|1110001100000110|  0  |      0|   0   |    0|    0|      0 |
|35+ | 11111|1110001100000111|  0  |      0|   0   |    0|    0|      0 |
|36  | 11111|1110001100000111|  0  |      0|   0   |    0|    0|      0 |
|36+ | 11111|1110111111010000|  0  |      1|   0   |    0|    0|      1 |
|37  | 11111|1110111111010000|  0  |      1|   0   |    0|    1|      1 |
|37+ | 11111|1110001100000001|  0  |      1|   0   |    0|    1|      1 |
|38  | 11111|1110001100000001|  0  |      1|   0   |    0|    0|      1 |
|38+ | 11111|1110001100000010|  0  |      1|   0   |    0|    0|      1 |
|39  | 11111|1110001100000010|  0  |      1|   0   |    0|    1|      1 |
|39+ | 11111|1110001100000011|  0  |      1|   0   |    0|    1|      1 |
|40  | 11111|1110001100000011|  0  |      1|   0   |    0|    0|      1 |
|40+ | 11111|1110001100000100|  0  |      1|   0   |    0|    0|      1 |
|41  | 11111|1110001100000100|  0  |      1|   0   |    0|    1|      1 |
|41+ | 11111|1110001100000101|  0  |      1|   0   |    0|    1|      1 |
|42  | 11111|1110001100000101|  0  |      1|   0   |    0|    1|      1 |
|42+ | 11111|1110001100000110|  0  |      1|   0   |    0|    1|      1 |
|43  | 11111|1110001100000110|  0  |      1|   0   |    0|    2|      1 |
|43+ | 11111|1110001100000111|  0  |      1|   0   |    0|    2|      1 |
|44  | 11111|1110001100000111|  0  |      1|   0   |    0|    1|      1 |
|44+ | 11111|1110001100000111|  1  |      1|   0   |    0|    1|      1 |
|45  | 11111|1110001100000111|  1  |      1|   0   |    0|    0|      1 |
|45+ | 11111|0111111111111111|  0  |      1|   0   |    0|    0|      1 |
|46  | 11111|0111111111111111|  0  |      1|   0   |    0|    1|      1 |
